Model,Accuracy,Precision,Recall,F1 Score,Training Time (sec)
XGBoost,0.9645569620253165,0.965810833213542,0.9645569620253165,0.9647215460378987,3.56358003616333
Random Forest,0.9620253164556962,0.9629828376174576,0.9620253164556962,0.9621130380624052,1.2490613460540771
LightGBM,0.9620253164556962,0.9622501270182934,0.9620253164556962,0.9620329430178379,0.4103684425354004
Logistic Regression,0.9518987341772152,0.953084004602992,0.9518987341772152,0.9521664178758455,1.4409494400024414
Decision Tree,0.9493670886075949,0.9497660604535856,0.9493670886075949,0.949440760833166,0.02493596076965332
Support Vector Machine,0.8835443037974684,0.890525216006105,0.8835443037974684,0.8851336533341255,0.5326623916625977
